,이용횟수
41424002.0,66
41006263.0,83
11110749.0,55
41003700.0,1
11110125.0,16
28323003.0,2
41327003.0,10
41076019.0,6
41007006.0,88
11110413.0,13
11110897.0,19
41032001.0,47
28005001.0,11
11110553.0,30
11110287.0,59
11110244.0,3
11110321.0,10
41065108.0,20
11110598.0,24
41007112.0,31
41002023.0,56
41110071.0,28
11110048.0,50
11110179.0,31
11110238.0,47
41071007.0,2
11110013.0,39
41453015.0,36
11110003.0,11
11110989.0,4
41002329.0,1
28002005.0,8
41039007.0,21
41030020.0,18
11110546.0,12
41110067.0,6
41039003.0,121
11111166.0,3
41026001.0,136
28317900.0,30
28027004.0,6
41247002.0,4
41094001.0,28
11110350.0,26
11110409.0,11
11110670.0,52
41021038.0,80
11110597.0,14
41004028.0,39
41032010.0,73
11110655.0,42
11110291.0,15
11110302.0,10
11110076.0,20
41003042.0,1
41003363.0,4
11110140.0,7
41007014.0,27
11110166.0,2
41002355.0,2
28043002.0,1
41022139.0,3
41425001.0,128
41062101.0,31
41021010.0,37
41036129.0,9
41030014.0,31
41110106.0,28
41003207.0,10
41003210.0,2
41025003.0,31
41397007.0,138
11110054.0,51
41038130.0,2
41078006.0,4
11110384.0,19
11110072.0,22
11110908.0,26
41485038.0,25
41384002.0,63
41030024.0,14
41030037.0,12
41110061.0,18
11110209.0,28
41005114.0,7
41017102.0,5
11110965.0,27
11110373.0,7
41040003.0,6
11110268.0,15
41421003.0,39
11110942.0,53
28325001.0,20
11110531.0,6
11110743.0,5
41040013.0,1
11110396.0,26
11110144.0,10
11110143.0,5
41003275.0,12
41002801.0,75
11110624.0,4
41011143.0,6
41089001.0,9
41005112.0,22
28010009.0,1
11110521.0,4
41002904.0,6
28323005.0,1
41006123.0,18
41110064.0,70
11110570.0,1
11110548.0,32
11110608.0,21
41485044.0,11
41110215.0,30
11110905.0,21
41059015.0,4
41045014.0,3
41350002.0,3
41018020.0,10
41236002.0,1
41001001.0,3
11110875.0,4
41329004.0,1
41011101.0,6
41005015.0,30
11110932.0,15
41485022.0,16
11110605.0,7
41228001.0,7
41002021.0,107
41425015.0,28
41422005.0,30
11110296.0,11
41030017.0,17
41425008.0,56
11110429.0,3
41110086.0,4
41045005.0,27
41271002.0,6
28011001.0,9
28001001.0,12
41110072.0,50
11110657.0,39
41026010.0,38
11110256.0,64
28022002.0,5
11110550.0,16
28511008.0,4
41425022.0,46
41056004.0,8
41016030.0,12
41063001.0,14
41007135.0,13
28013005.0,8
11110088.0,47
11110262.0,21
41006166.0,4
41394003.0,24
11110557.0,20
41075013.0,76
11110628.0,48
41313002.0,1
11110503.0,20
11110901.0,8
11110012.0,6
41110137.0,79
28013003.0,15
41005035.0,8
41284002.0,49
41110117.0,14
41245007.0,20
11110116.0,7
11110387.0,12
41012105.0,23
41382004.0,3
28343001.0,1
11110540.0,22
41062002.0,15
41008156.0,8
41110216.0,11
41002588.0,1
41003263.0,1
41007026.0,2
41018162.0,2
11110518.0,7
11110924.0,3
41022002.0,30
11110358.0,20
41013005.0,60
41091006.0,1
41021900.0,55
11110962.0,16
11110539.0,24
11110217.0,49
41423006.0,39
41005009.0,3
41489001.0,55
41011120.0,1
41045009.0,39
41002270.0,10
28315033.0,2
11110759.0,17
11110631.0,10
41003033.0,20
41022117.0,21
41319024.0,2
41006409.0,23
11110031.0,74
11110677.0,19
41002294.0,61
41240001.0,2
41002368.0,1
41002132.0,1
41005010.0,9
11110271.0,12
28228001.0,4
11110691.0,10
11110672.0,4
41006187.0,6
41045003.0,29
41071010.0,3
41425007.0,164
41051109.0,4
41009157.0,1
41007103.0,34
41021037.0,51
41022133.0,7
11110569.0,7
41007004.0,8
11110970.0,13
28043001.0,15
28009003.0,15
41061020.0,92
28030014.0,11
41042021.0,4
41040120.0,4
41003278.0,27
41110023.0,13
11110912.0,11
