,이용횟수
4100029.0,388
4170343.0,643
4108045.0,1944
4116716.0,303
4317.0,1123
4117264.0,808
4105218.0,32
1756.0,268
4103825.0,230
4170867.0,394
4170971.0,289
4121322.0,30
4101464.0,17
4110406.0,15
4150270.0,41
4110417.0,242
2800433.0,1
238.0,282
4117279.0,237
4116919.0,937
4170824.0,205
4135037.0,1616
4100610.0,762
4108201.0,198
4130420.0,55
4135043.0,98
4130409.0,262
9199422.0,169
9008780.0,34
425.0,103
4101736.0,142
4176764.0,369
1870.0,1320
8001669.0,312
9117184.0,341
8501262.0,4
4117.0,184
4116713.0,1444
4100076.0,758
1807.0,37
4116958.0,125
4130059.0,950
4116902.0,668
4116856.0,465
4116960.0,607
4150164.0,358
4196917.0,78
4116963.0,1126
4108037.0,1600
4130126.0,693
4123497.0,202
4160309.0,1221
4120438.0,783
4108147.0,1750
4117044.0,850
4114976.0,331
234.0,491
1751.0,378
4151723.0,341
4179128.0,39
4151530.0,110
4122165.0,63
4108143.0,1225
4108144.0,475
4116681.0,425
4103122.0,181
4100111.0,471
4108094.0,279
4116918.0,261
4118341.0,13
4100096.0,379
4130507.0,652
4111644.0,270
4105587.0,2
2711.0,2
4170809.0,30
4177001.0,444
4100060.0,512
4113570.0,289
4195614.0,105
9130392.0,103
4116842.0,1859
4111813.0,355
4110116.0,72
4119432.0,92
4111627.0,639
71371.0,8
4150139.0,454
4113434.0,120
9100146.0,75
9034649.0,52
4113321.0,744
4179369.0,150
4108205.0,181
4111634.0,196
4111922.0,365
9122102.0,79
4108080.0,573
4100052.0,1718
4197469.0,203
4108170.0,267
1728.0,372
4150196.0,306
4108221.0,1169
2620.0,9
4103639.0,411
2612.0,4
4197464.0,2420
4179149.0,592
2825.0,41
4114212.0,156
4130084.0,303
4117392.0,10
4199621.0,137
4160220.0,35
426.0,130
9176942.0,111
4117273.0,182
4160282.0,521
4130064.0,498
4197552.0,1163
4116797.0,440
420.0,188
4121777.0,158
8001908.0,56
4116757.0,1064
9001923.0,2
4103240.0,26
4116711.0,531
4108126.0,1057
4105306.0,766
240.0,361
4170481.0,1264
4106999.0,23
1854.0,1143
9011651.0,3
4117057.0,820
1024.0,111
4100146.0,1216
4116894.0,737
4116854.0,1370
4116888.0,981
4114451.0,104
4150346.0,30
4130497.0,70
4130376.0,2
4198442.0,330
4130227.0,63
239.0,596
4195497.0,62
4150356.0,177
4100460.0,351
4100451.0,431
4100524.0,364
4116395.0,931
4117008.0,68
4108017.0,432
4199933.0,410
4100444.0,784
4119195.0,9
4117235.0,283
4130527.0,409
4170936.0,162
4130466.0,329
4116268.0,136
75267.0,4
311.0,61
4117242.0,90
4117023.0,321
4111628.0,394
4176428.0,22
4108124.0,397
4150179.0,222
4100088.0,268
4117056.0,1094
4160266.0,403
4107945.0,131
4179333.0,644
4102880.0,106
4113327.0,60
2623.0,34
4130423.0,201
4170108.0,188
4170352.0,325
4170265.0,171
4100036.0,352
4112502.0,1
4130133.0,238
4176752.0,81
4170094.0,582
4150253.0,269
4199077.0,440
4111875.0,1088
4179340.0,412
4117048.0,670
4107934.0,2605
4116693.0,818
4111814.0,532
4115.0,102
4108303.0,1
4195605.0,432
8000420.0,64
4116396.0,198
4197261.0,1901
4122083.0,128
4130120.0,1244
4108010.0,372
1865.0,1198
